Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","174","Portugal","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","76.79","Fc","Calculated data"
"FBS","New Food Balances","117","Republic of Korea","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","43.14","Fc","Calculated data"
"FBS","New Food Balances","146","Republic of Moldova","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","36.41","Fc","Calculated data"
"FBS","New Food Balances","183","Romania","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","67.41","Fc","Calculated data"
"FBS","New Food Balances","185","Russian Federation","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","61.42","Fc","Calculated data"
"FBS","New Food Balances","184","Rwanda","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","6.09","Fc","Calculated data"
"FBS","New Food Balances","188","Saint Kitts and Nevis","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","47.3","Fc","Calculated data"
"FBS","New Food Balances","189","Saint Lucia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","55.27","Fc","Calculated data"
"FBS","New Food Balances","191","Saint Vincent and the Grenadines","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","39.01","Fc","Calculated data"
"FBS","New Food Balances","244","Samoa","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","60.35","Fc","Calculated data"
"FBS","New Food Balances","193","Sao Tome and Principe","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","10.92","Fc","Calculated data"
"FBS","New Food Balances","194","Saudi Arabia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","31.75","Fc","Calculated data"
"FBS","New Food Balances","195","Senegal","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","8.99","Fc","Calculated data"
"FBS","New Food Balances","272","Serbia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","55.44","Fc","Calculated data"
"FBS","New Food Balances","197","Sierra Leone","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","6.43","Fc","Calculated data"
"FBS","New Food Balances","199","Slovakia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","80.93","Fc","Calculated data"
"FBS","New Food Balances","198","Slovenia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","64.14","Fc","Calculated data"
"FBS","New Food Balances","25","Solomon Islands","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","13.93","Fc","Calculated data"
"FBS","New Food Balances","202","South Africa","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","32.41","Fc","Calculated data"
"FBS","New Food Balances","203","Spain","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","58.32","Fc","Calculated data"
"FBS","New Food Balances","38","Sri Lanka","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","10.15","Fc","Calculated data"
"FBS","New Food Balances","276","Sudan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","27.47","Fc","Calculated data"
"FBS","New Food Balances","207","Suriname","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","22.93","Fc","Calculated data"
"FBS","New Food Balances","210","Sweden","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","76.71","Fc","Calculated data"
"FBS","New Food Balances","211","Switzerland","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","84.01","Fc","Calculated data"
"FBS","New Food Balances","208","Tajikistan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","14.58","Fc","Calculated data"
"FBS","New Food Balances","216","Thailand","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","25.14","Fc","Calculated data"
"FBS","New Food Balances","176","Timor-Leste","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","16.1","Fc","Calculated data"
"FBS","New Food Balances","217","Togo","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","5.95","Fc","Calculated data"
"FBS","New Food Balances","220","Trinidad and Tobago","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","41.52","Fc","Calculated data"
"FBS","New Food Balances","222","Tunisia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","25.15","Fc","Calculated data"
"FBS","New Food Balances","223","Turkey","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","34.48","Fc","Calculated data"
"FBS","New Food Balances","213","Turkmenistan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","56.45","Fc","Calculated data"
"FBS","New Food Balances","226","Uganda","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","11","Fc","Calculated data"
"FBS","New Food Balances","230","Ukraine","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","42.76","Fc","Calculated data"
"FBS","New Food Balances","225","United Arab Emirates","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","38.35","Fc","Calculated data"
"FBS","New Food Balances","229","United Kingdom","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","72.95","Fc","Calculated data"
"FBS","New Food Balances","215","United Republic of Tanzania","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","8.16","Fc","Calculated data"
"FBS","New Food Balances","231","United States of America","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","70.91","Fc","Calculated data"
"FBS","New Food Balances","234","Uruguay","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","55.98","Fc","Calculated data"
"FBS","New Food Balances","235","Uzbekistan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","43.24","Fc","Calculated data"
"FBS","New Food Balances","155","Vanuatu","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","29.33","Fc","Calculated data"
"FBS","New Food Balances","236","Venezuela (Bolivarian Republic of)","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","21.17","Fc","Calculated data"
"FBS","New Food Balances","237","Viet Nam","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","52.17","Fc","Calculated data"
"FBS","New Food Balances","249","Yemen","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","9.78","Fc","Calculated data"
"FBS","New Food Balances","251","Zambia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","8.58","Fc","Calculated data"
"FBS","New Food Balances","181","Zimbabwe","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","11.84","Fc","Calculated data"
