Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.21","Fc","Calculated data"
"FBS","New Food Balances","184","Rwanda","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.41","Fc","Calculated data"
"FBS","New Food Balances","188","Saint Kitts and Nevis","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","16.29","Fc","Calculated data"
"FBS","New Food Balances","189","Saint Lucia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","17.86","Fc","Calculated data"
"FBS","New Food Balances","191","Saint Vincent and the Grenadines","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","25.43","Fc","Calculated data"
"FBS","New Food Balances","244","Samoa","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","12.92","Fc","Calculated data"
"FBS","New Food Balances","193","Sao Tome and Principe","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","5.21","Fc","Calculated data"
"FBS","New Food Balances","194","Saudi Arabia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","7.31","Fc","Calculated data"
"FBS","New Food Balances","195","Senegal","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.13","Fc","Calculated data"
"FBS","New Food Balances","272","Serbia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.1","Fc","Calculated data"
"FBS","New Food Balances","197","Sierra Leone","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.63","Fc","Calculated data"
"FBS","New Food Balances","199","Slovakia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.4","Fc","Calculated data"
"FBS","New Food Balances","198","Slovenia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","11.26","Fc","Calculated data"
"FBS","New Food Balances","25","Solomon Islands","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","7.37","Fc","Calculated data"
"FBS","New Food Balances","202","South Africa","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.01","Fc","Calculated data"
"FBS","New Food Balances","203","Spain","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","38","Sri Lanka","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.31","Fc","Calculated data"
"FBS","New Food Balances","276","Sudan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.75","Fc","Calculated data"
"FBS","New Food Balances","207","Suriname","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","14.44","Fc","Calculated data"
"FBS","New Food Balances","210","Sweden","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","8.59","Fc","Calculated data"
"FBS","New Food Balances","211","Switzerland","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","208","Tajikistan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.26","Fc","Calculated data"
"FBS","New Food Balances","216","Thailand","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.1","Fc","Calculated data"
"FBS","New Food Balances","176","Timor-Leste","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.95","Fc","Calculated data"
"FBS","New Food Balances","217","Togo","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.63","Fc","Calculated data"
"FBS","New Food Balances","220","Trinidad and Tobago","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.47","Fc","Calculated data"
"FBS","New Food Balances","222","Tunisia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.2","Fc","Calculated data"
"FBS","New Food Balances","223","Turkey","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.19","Fc","Calculated data"
"FBS","New Food Balances","213","Turkmenistan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.48","Fc","Calculated data"
"FBS","New Food Balances","226","Uganda","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.4","Fc","Calculated data"
"FBS","New Food Balances","230","Ukraine","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.12","Fc","Calculated data"
"FBS","New Food Balances","225","United Arab Emirates","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","11.89","Fc","Calculated data"
"FBS","New Food Balances","229","United Kingdom","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","12.04","Fc","Calculated data"
"FBS","New Food Balances","215","United Republic of Tanzania","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.25","Fc","Calculated data"
"FBS","New Food Balances","231","United States of America","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","234","Uruguay","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","5.97","Fc","Calculated data"
"FBS","New Food Balances","235","Uzbekistan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.74","Fc","Calculated data"
"FBS","New Food Balances","155","Vanuatu","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.78","Fc","Calculated data"
"FBS","New Food Balances","236","Venezuela (Bolivarian Republic of)","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.75","Fc","Calculated data"
"FBS","New Food Balances","237","Viet Nam","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.18","Fc","Calculated data"
"FBS","New Food Balances","249","Yemen","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.23","Fc","Calculated data"
"FBS","New Food Balances","251","Zambia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.53","Fc","Calculated data"
"FBS","New Food Balances","181","Zimbabwe","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.36","Fc","Calculated data"
