"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Miscellaneous","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Ecuador",0,22.7577,0.0988,0.0076,22.6665,1.6038,1.6494,1.1022,11.09,7.3579,0.9425,0.6385,0.8893,0.0532,0.8665,0.0532,0,0,0.0304,27.2423,0.0152,0.7753,0.1596,19.3,"7.9",0.469870367197761,0.0318885272114671,0.201490491690937,0.236491348295357,17511000,"%"
"Egypt",0.0052,12.4994,0.0467,0,30.3504,0.5243,3.4934,1.0849,5.1077,2.0919,1.2302,0.5969,1.6818,0.2128,0.6696,0.2024,0.1298,0,0.0467,37.5032,0.0052,2.4916,0.026,31.1,"4.5",0.0922065811533387,0.00465363134033709,0.0356725494280924,0.0518804003849092,100803000,"%"
"El Salvador",0.1203,17.3405,0.0468,0,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0,0,0.0334,32.6495,0.0267,1.5035,0.3074,22.7,"9",0.238327418608239,0.00643419225428175,0.12194105847863,0.109952167875328,6481000,"%"
"Estonia",0.5907,28.6013,0.2233,0,15.0751,1.7071,1.735,0.5023,8.8097,15.424,0.7024,0.1861,0.8559,0.1674,1.3582,0.7535,0,0.0047,0.3582,21.401,0.0233,1.4745,0.0465,23.8,"2.9",0.153117956423742,0.00518407212622089,0.144552967693464,0.0033809166040571,1331000,"%"
"Eswatini",0.6034,14.768,0.0489,0,27.0081,0.4077,0.9296,0.7421,8.8396,3.4086,1.1253,1.3129,1.8511,0.4322,1.9979,0.1468,0,0,0.1794,35.2361,0,0.7747,0.1876,13.5,"20.6",0.217753623188406,0.00353260869565217,0.0928442028985507,0.121376811594203,1104000,"%"
"Ethiopia",0.1676,4.4561,0.0076,0,29.7303,0.099,0.1066,0.1143,1.6834,2.1938,0.3656,0.8074,10.748,0.7693,2.3461,0.3047,0,0,0.0838,45.5515,0,0.457,0.0076,3.6,"20.6",0.0132270528037871,0.000207978001322705,0.00567893069720491,0.00734014410525949,114916000,"%"
"Fiji",0.2232,21.1078,0.2435,0,16.8335,0.8386,6.3303,0.3043,10.1515,2.7323,0.8116,1.8734,4.6936,0.1826,2.7797,0.3382,0,0,0.0609,28.8922,0.0203,1.5014,0.0812,30,"3.7",0.00301339285714286,0,0.00200892857142857,0.00100446428571429,896000,"%"
"Finland",0.4797,31.2205,0.2505,0,13.0758,1.1632,3.8251,0.5434,11.1059,14.3706,0.501,0.3524,0.3099,0.0425,1.1123,1.0826,0,0.0042,0.1826,18.7816,0.0594,1.1038,0.433,24.9,"<2.5",0.133912099837222,0.00595044311810454,0.125158256465907,0.00280340025321035,5529000,"%"
"France",0.1784,31.0849,0.2677,0,13.4993,1.6015,3.9079,0.6513,12.8703,11.1617,1.2714,0.4104,0.513,0.0401,0.977,0.7361,0,0.0045,0.3569,18.9195,0.0134,1.4811,0.0535,23.2,"<2.5",0.340432707114259,0.046544502617801,0.125409608869726,0.168478595626732,64940000,"%"
"French Polynesia",0.3778,32.9981,0.2042,0.0153,10.705,1.1741,7.0448,0.3931,18.8677,4.768,0.9189,1.0618,0.6636,0.0255,0.9036,0.3471,0.0255,0,0.1174,17.0044,0.0153,1.2558,1.1129,NA,"4.2",NA,NA,NA,NA,280000,"%"
