"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Norway",3.7939,0.6119,21.1992,5e-04,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,3.6634,0.0893,0.3113,0.3204,0.0235,2.8097,0.4819,2.2652,0,0.099,0.8697,3.9131,28.7933,25,"<2.5",0.156482694106642,0.00439663236669785,0.144565014031805,0.00752104770813845,5345000,"%"
"Oman",0.2621,0.0571,13.5101,0,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,0.0423,0.1888,0.1338,0.2776,0.2297,1.6984,0.1395,2.5903,0.0077,0.0521,0.6995,10.8902,36.486,22.9,"6.8",0.165495207667732,0.000788072417465389,0.041171458998935,0.123535676251331,4695000,"%"
"Pakistan",0.0085,0.0969,22.2758,0.0011,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,0.0117,0.1969,0.3577,0.6993,0.1618,1.8202,0.5258,2.6707,1.7915,0.0852,0.3417,2.2173,27.7226,7.8,"20.3",0.0260194398910258,0.000538868238173297,0.00807240320458061,0.0174081684482719,216565000,"%"
"Panama",6.6254,0.2467,12.3346,0.0031,14.2627,0.4604,1.005,6.6783,4.98,5.353,0.7431,0.2873,0.4589,0.4129,0.0153,1.3758,0.1195,4.2277,0,0.036,0.7645,1.948,37.6619,22.5,"10",0.265062811092676,0.00734771272813463,0.148826736193411,0.108888362171131,4219000,"%"
"Paraguay",3.9095,0.2191,11.2654,0,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,0.1788,0.4675,0.2745,0.6185,0.0082,12.5302,1.0112,2.4084,0,0.0015,1.0733,3.7113,38.726,19,"10.7",0.0120877585243153,0.000153717160424818,0.00480715483510341,0.00712688652878703,7156000,"%"
"Peru",3.8623,0.0316,8.6638,0.0014,11.814,0.6431,1.7993,8.5783,1.754,4.0729,0.0719,0.3629,0.2458,0.6367,0.0172,8.7924,0.2501,1.7339,0,0.023,0.5066,4.8044,41.3344,19.1,"9.7",0.390104150278468,0.011418772222397,0.160312765488814,0.218372612567257,31781000,"%"
"Philippines",1.9716,0.3074,6.7108,0,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,0.1925,0.2717,0.5425,0.1106,0.034,2.8773,0.5399,2.3774,0,0.1838,0.4119,5.4481,43.2905,6,"13.3",0.0132439856821776,0.000807458586531258,0.00307352220279882,0.00936300489284756,108117000,"%"
"Poland",6.8201,0.9842,16.559,0,7.9033,0.3702,0.5845,3.0079,4.85,9.7542,0,0.017,0.0798,0.1099,0.0202,5.5631,0.1509,2.4775,0,0.0476,0.3959,6.8655,33.439,25.6,"<2.5",0.0563307291666667,0.00262239583333333,0.02415625,0.0295520833333333,38400000,"%"
"Portugal",4.7147,0.4077,18.6614,5e-04,6.2984,0.4053,2.7295,6.5126,4.5168,10.3936,0.1393,0.2079,0.0965,0.1618,0.0173,3.106,0.2684,1.7316,0,0.2319,0.7246,7.3366,31.3374,23.2,"<2.5",0.299814977115591,0.0129516019086571,0.173551465576005,0.113311909630928,10269000,"%"
"Republic of Moldova",3.8296,0.4339,16.5343,0,11.6462,0.6795,0.991,3.4256,3.2622,10.9992,0.5083,0.1694,0.0616,0.0642,0.0068,3.9066,0.083,2.6632,0,0.018,0.825,6.4285,33.464,20.1,NA,0.201721704769969,0.00736663844199831,0.107310189105278,0.0870448772226926,3543000,"%"
